CC,No,Money,City,Phone,Fraud
555748 711913 2673,1.69E+12,"$6,427 ",Canoas,0391 617 3208,1
5411 8872 9673 5592,1.68E+12,"$7,614 ",Pont-Saint-Martin,0847 998 7581,1
5330 0000 0000 0000,1.65E+12,"$6,455 ",Canoas,0800 699362,0
539579 2135138042,1.65E+12,"$8,795 ",Ajax,0877 081 0354,1
519 47442 10344 428,1.64E+12,"$5,099 ",Pont-Saint-Martin,(0111) 595 7522,1
5367 6464 2071 2099,1.64E+12,"$5,503 ",North Saanich,0868 315 3327,1
522224 451884 6378,1.69E+12,"$5,782 ",North Saanich,(0191) 338 9175,0
5562 8737 7293 0227,1.61E+12,"$6,875 ",Ajax,0800 1111,0
554609 155397 6951,1.63E+12,"$5,059 ",Pont-Saint-Martin,0958 668 8396,0
533499 6794534607,1.67E+12,"$8,328 ",Pont-Saint-Martin,(012070) 91391,1
5443 7660 9381 7013,1.61E+12,"$5,028 ",North Saanich,0800 1111,0
559527 1513547742,1.62E+12,"$8,117 ",Canoas,055 2512 2474,0
540570 343257 0835,1.63E+12,"$7,606 ",Amlwch,0500 344790,1
5363 8175 3934 8513,1.61E+12,"$6,098 ",Ajax,056 0644 2068,1
553907 9366882960,1.61E+12,"$6,495 ",Amlwch,(016977) 7297,1
554505 7729759192,1.62E+12,"$7,612 ",Amlwch,0895 572 6860,1
554558 589706 8418,1.67E+12,"$6,712 ",Pont-Saint-Martin,070 3433 5156,1
552 25962 59390 511,1.66E+12,"$8,569 ",Ajax,056 1309 8674,0
524653 398990 2880,1.68E+12,"$9,954 ",Canoas,0500 068907,1
5200 0000 0000 0000,1.64E+12,"$9,668 ",North Saanich,0800 128626,0
512995 1050768398,1.65E+12,"$5,859 ",North Saanich,(019774) 18036,1
526884 6837444175,1.69E+12,"$7,766 ",Pont-Saint-Martin,0921 792 2533,0
511 68238 82243 491,1.66E+12,"$5,672 ",Amlwch,(0181) 695 9353,0
5400 0000 0000 0000,1.67E+12,"$6,118 ",Canoas,056 2793 7843,0
5393 0485 7221 3018,1.67E+12,"$5,685 ",Canoas,(01159) 88101,0
556 76168 08528 795,1.61E+12,"$9,586 ",Pont-Saint-Martin,07398 619301,1
551279 578428 8180,1.67E+12,"$6,778 ",Ajax,(0151) 830 2205,1
529393 417274 1584,1.69E+12,"$7,329 ",Ajax,056 7526 5543,0
5470 0000 0000 0000,1.68E+12,"$7,595 ",Amlwch,076 4503 7404,1
5136 8504 0086 6137,1.69E+12,"$7,883 ",Canoas,0800 264 1734,1
523310 293372 6491,1.65E+12,"$6,088 ",Ajax,07648 906085,1
541 11314 86751 139,1.68E+12,"$6,517 ",North Saanich,(0171) 260 5181,1
524275 1865857846,1.68E+12,"$9,525 ",North Saanich,0808 945 9135,1
5166 2253 4394 7174,1.65E+12,"$5,032 ",Amlwch,0943 247 3644,1
524781 383644 4719,1.68E+12,"$8,155 ",North Saanich,0800 331291,1
535 70668 13836 805,1.68E+12,"$6,405 ",Canoas,0500 520419,0
551177 6613622907,1.64E+12,"$8,450 ",Ajax,07624 036768,0
521558 475099 4280,1.67E+12,"$9,821 ",Ajax,0800 563 3298,1
544 61213 67661 647,1.65E+12,"$7,166 ",Pont-Saint-Martin,(028) 3675 1327,1
518272 845673 5971,1.69E+12,"$7,132 ",Canoas,0976 095 8069,0
5104 4157 7846 5975,1.68E+12,"$5,508 ",Canoas,07106 277569,0
5240 0000 0000 0000,1.68E+12,"$6,677 ",Canoas,0500 314751,0
526 72286 25449 917,1.67E+12,"$9,751 ",Ajax,055 6518 7690,1
541253 143652 2101,1.66E+12,"$5,272 ",Amlwch,(015671) 84223,1
5180 0000 0000 0000,1.66E+12,"$5,992 ",North Saanich,070 0300 9897,0
536401 382730 6459,1.62E+12,"$9,708 ",North Saanich,0871 248 6504,1
5571 6196 0161 0509,1.62E+12,"$8,708 ",Pont-Saint-Martin,0500 203292,1
5360 0000 0000 0000,1.68E+12,"$9,411 ",Ajax,0845 46 41,1
515488 5408090477,1.68E+12,"$6,912 ",Amlwch,0845 46 40,0
539256 0018163277,1.65E+12,"$5,590 ",Pont-Saint-Martin,(01389) 17420,0
523205 9463037577,1.69E+12,"$5,182 ",Pont-Saint-Martin,0800 1111,0
535 44415 93307 405,1.68E+12,"$5,877 ",Canoas,0800 527 4164,0
5290 0000 0000 0000,1.67E+12,"$5,376 ",Canoas,0942 080 3083,1
549 68644 69190 994,1.69E+12,"$5,283 ",Pont-Saint-Martin,(01253) 189607,0
5584 4286 6188 5901,1.62E+12,"$9,882 ",Ajax,0800 601865,1
532 22422 49762 897,1.66E+12,"$5,238 ",Pont-Saint-Martin,(0114) 869 3969,0
520577 496750 3865,1.61E+12,"$7,679 ",Pont-Saint-Martin,0800 625 8914,1
532 21340 88888 638,1.66E+12,"$9,635 ",Ajax,(016977) 4366,0
5330 0000 0000 0000,1.67E+12,"$8,137 ",Canoas,070 5321 7311,0
5290 0000 0000 0000,1.69E+12,"$5,548 ",North Saanich,(01414) 126450,0
5270 0000 0000 0000,1.63E+12,"$5,307 ",Ajax,0817 527 2162,1
5505 8242 1729 3820,1.66E+12,"$5,586 ",Canoas,07353 831699,1
510144 2750845530,1.69E+12,"$5,467 ",North Saanich,(01741) 907896,1
5107 9755 0763 4339,1.65E+12,"$6,597 ",Pont-Saint-Martin,0800 639013,0
539545 514959 6726,1.66E+12,"$7,937 ",Canoas,(0151) 078 6375,0
5140 0000 0000 0000,1.64E+12,"$9,587 ",Canoas,0500 543102,0
538 72243 69407 653,1.66E+12,"$6,023 ",Canoas,0800 141 3279,0
519 53264 70107 932,1.61E+12,"$6,312 ",North Saanich,(01621) 886546,1
540695 9103472581,1.65E+12,"$9,952 ",Pont-Saint-Martin,(0121) 138 1319,1
5550 0000 0000 0000,1.65E+12,"$9,930 ",Pont-Saint-Martin,0500 032848,1
515651 3145168541,1.65E+12,"$7,260 ",Ajax,076 8437 5437,0
520717 585798 6012,1.63E+12,"$9,444 ",North Saanich,0500 209146,1
535018 6496299274,1.65E+12,"$8,980 ",Ajax,(0151) 242 6721,1
